Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
F15101,HUH,06:41 上午,02:56 下午,HUH,7:45,TAP PICK T32
F15102,HUH,05:16 上午,12:46 下午,HUH,7:00,MKKP1S T3
F15103,HTD,05:05 上午,01:05 下午,HUH,7:30,T24
F15104,HUH,01:44 下午,08:59 下午,HUH,6:45,EMU
F15105,HUH,11:00 上午,07:45 下午,HUH,8:15,KB
F15106,HUH,10:28 上午,05:28 下午,HUH,6:30,EMU
F15107,HUH,05:22 上午,12:37 下午,HUH,6:45,EMU
F15108,HUH,08:00 上午,04:45 下午,HUH,8:15,EMU
F15109,HUH,05:23 下午,01:23 上午,HUH,7:30,FOTP1 STOP
F15110,HUH,05:59 下午,01:44 上午,HUH,7:15,SHTP3 STOP
F15111,HUH,02:11 下午,10:26 下午,HTD,7:45,EMU
F15112,HUH,05:17 上午,12:47 下午,HUH,7:00,EMU
F15113,SHT,04:05 上午,10:50 上午,HUH,6:15,SHTP4S T8
F15114,HUH,12:35 下午,08:05 下午,HUH,7:00,EMU/PM BY
F15115,HUH,01:17 下午,09:32 下午,HUH,7:45,EMU
F15116,HUH,12:22 下午,07:22 下午,HUH,6:30,EMU
F15117,HUH,07:33 上午,04:18 下午,HUH,8:15,EMU
F15118,HUH,05:41 上午,01:11 下午,HUH,7:00,EMU
F15119,HUH,04:28 上午,10:58 上午,HUH,6:00,MKKP3 T5
F15120,HUH,05:34 下午,01:34 上午,HTD,7:30,EMU
F15121,HUH,05:42 下午,01:27 上午,HUH,7:15,SHTP4 STOP
F15122,HUH,04:16 下午,01:01 上午,HUH,8:15,SHTP4S STOP
F15123,HTD,05:53 上午,01:38 下午,HTD,7:15,T29
F15124,HUH,06:53 上午,02:23 下午,HUH,7:00,EMU
F15125,HTD,05:11 上午,11:41 上午,HTD,6:00,T25
F15126,HUH,01:24 下午,10:09 下午,HUH,8:15,EMU
F15127,HUH,12:02 下午,07:17 下午,HUH,6:45,EMU
F15128,HUH,06:56 上午,01:56 下午,HUH,6:30,EMU
F15129,SHT,04:05 上午,10:35 上午,HTD,6:00,SHTP3 T7
F15130,HUH,06:54 下午,01:54 上午,HUH,6:30,MKKP3 STOP
F15131,HUH,05:15 下午,01:30 上午,HUH,7:45,KB
F15132,HUH,04:02 下午,11:17 下午,HUH,6:45,EMU
F15133,HUH,06:40 上午,03:10 下午,HUH,8:00,EMU
F15134,HTD,05:00 上午,01:30 下午,HTD,8:00,HB/Hot Standby
F15135,HUH,04:50 上午,12:35 下午,HUH,7:15,HUHP1 T1
F15136,HUH,04:28 下午,01:13 上午,HUH,8:15,HUHP1 STOP
F15137,HTD,05:03 下午,01:03 上午,HUH,7:30,T24a
F15138,HUH,04:40 下午,01:10 上午,HTD,8:15,EMU
F15139,HUH,05:56 上午,01:26 下午,HUH,7:00,EMU
F15140,HUH,04:28 上午,12:28 下午,HUH,7:30,KB
F15141,HUH,06:34 上午,02:04 下午,HUH,7:00,EMU
F15142,HUH,05:39 下午,01:24 上午,HUH,7:15,MKKP1 STOP
F15143,HUH,06:26 下午,01:26 上午,HUH,6:30,EMU
F15144,HUH,06:15 上午,03:00 下午,HUH,8:15,EMU
F15145,HUH,08:05 上午,04:50 下午,HUH,8:15,EMU
F15146,HUH,01:30 下午,09:15 下午,HUH,7:15,EMU
F15147,HUH,12:41 下午,07:41 下午,HUH,6:30,EMU
F15148,HUH,10:25 上午,06:10 下午,HUH,7:15,EMU
F15149,HUH,04:50 上午,12:20 下午,HUH,7:00,HUHP4 T2/AM BY
F15150,HUH,04:28 上午,12:13 下午,HUH,7:15,MKKP1 T4
F15151,HTD,05:31 上午,01:46 下午,HUH,7:45,T28
F15152,HUH,06:19 下午,01:49 上午,HUH,7:00,HUHP4 STOP
F15153,HUH,06:10 下午,01:55 上午,HUH,7:15,SHTP1 STOP
F15154,HUH,04:31 下午,01:01 上午,HUH,8:00,EMU
F15155,HUH,06:37 上午,01:52 下午,HUH,6:45,EMU
F15156,HTD,06:34 上午,03:19 下午,HUH,8:15,T31
