Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
A75101,HUH,7:29 上午,4:14 下午,HUH,8:15,EMU
A75102,HUH,5:16 上午,12:01 下午,HTD,6:15,MKKP1S T3/HTD BY
A75103,HTD,5:05 上午,1:05 下午,HUH,7:30,T24
A75104,HUH,12:14 下午,8:14 下午,HUH,7:30,EMU
A75105,HUH,11:00 上午,7:45 下午,HUH,8:15,KB
A75106,HUH,10:51 上午,5:51 下午,HUH,6:30,EMU
A75107,HUH,5:17 上午,12:47 下午,HUH,7:00,EMU
A75108,HUH,8:05 上午,4:50 下午,HUH,8:15,EMU
A75109,HUH,5:27 下午,1:27 上午,HUH,7:30,FOTP1  STOP
A75110,HUH,6:52 下午,1:37 上午,HUH,6:15,SHTP3 STOP
A75111,HUH,3:13 下午,10:43 下午,HUH,7:00,EMU
A75112,HUH,5:22 上午,12:22 下午,HUH,6:30,EMU
A75113,SHT,4:05 上午,10:50 上午,HTD,6:15,SHTP4S T8
A75114,HUH,1:07 下午,8:07 下午,HUH,6:30,EMU/PM BY
A75115,HUH,11:49 上午,6:49 下午,HUH,6:30,EMU
A75116,HUH,11:16 上午,6:31 下午,HUH,6:45,EMU
A75117,,GH,,,,
A75118,HUH,5:44 上午,1:14 下午,HUH,7:00,EMU
A75119,HUH,4:28 上午,10:58 上午,HUH,6:00,MKKP3 T5
A75120,HUH,5:42 下午,12:52 上午,HUH,6:30,MKKP1S STOP
A75121,HUH,6:16 下午,1:16 上午,HUH,6:30,SHTP4  STOP
A75122,HUH,3:37 下午,12:22 上午,HUH,8:15,SHTP4S  STOP
A75123,HUH,7:20 上午,4:05 下午,HUH,8:15,EMU
A75124,HUH,7:17 上午,3:02 下午,HUH,7:15,EMU
A75125,HTD,5:11 上午,12:41 下午,HUH,7:00,T25
A75126,HUH,1:04 下午,9:49 下午,HUH,8:15,EMU
A75127,HUH,11:20 上午,7:05 下午,HUH,7:15,EMU
A75128,HUH,6:41 上午,3:26 下午,HUH,8:15,EMU
